SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Dellwood Early Learning Ctr",Clintonville,"Elementary School",K4,0,"Public school",Regular,No,"238 N Harriet St  Clintonville WI  54929",Waupaca,8,17569,1141,60,11410060,5502670,00303,44.633531,-88.756629,1,rooftop,238,"Harriet St",Clintonville,WI,"Waupaca County",54929,US,Waupaca
"DeLong Mid","Eau Claire Area","Middle School",6,8,"Public school",Regular,No,"2000 Vine St  Eau Claire WI  54703-4999","Eau Claire",10,15304,1554,170,15540170,5504050,00421,44.822017,-91.535388,1,rooftop,2000,"Vine St","Eau Claire",WI,"Eau Claire County",54703,US,Statewide
"Denmark Community Sch",Denmark,"Combined Elementary/Secondary School",7,12,"Public school",Regular,Charter,"450 N Wall St  Denmark WI  54208-9416",Brown,7,00747,1407,450,14070450,5503660,02936,44.351948,-87.823354,1,rooftop,450,"N Wall St",Denmark,WI,"Brown County",54208,US,Brown
"Denmark Early Childhood Ctr",Denmark,"Elementary School",K4,0,"Public school",Regular,No,"Denmark Early Childhood Center 150 N Wall St Denmark WI  54208-9416",Brown,7,11342,1407,40,14070040,5503660,00346,44.342291,-87.893412,1,street_center,,"Denmark Rd",Denmark,WI,"Brown County",54208,US,"TIGER/Line® dataset from the US Census Bureau"
"Denmark El",Denmark,"Elementary School",1,5,"Public school",Regular,No,"450 N Wall St  Denmark WI  54208-9416",Brown,7,11343,1407,60,14070060,5503660,00387,44.351948,-87.823354,1,rooftop,450,"N Wall St",Denmark,WI,"Brown County",54208,US,Brown
"Denmark Hi",Denmark,"High School",9,12,"Public school",Regular,No,"450 N Wall St  Denmark WI  54208-9416",Brown,7,11344,1407,80,14070080,5503660,00388,44.351948,-87.823354,1,rooftop,450,"N Wall St",Denmark,WI,"Brown County",54208,US,Brown
"Denmark Mid",Denmark,"Middle School",6,8,"Public school",Regular,No,"450 N Wall St  Denmark WI  54208-9416",Brown,7,11345,1407,100,14070100,5503660,00389,44.351948,-87.823354,1,rooftop,450,"N Wall St",Denmark,WI,"Brown County",54208,US,Brown
"Destinations Career Acad of WI",McFarland,"High School",9,12,"Public school",Vocational,Charter,"4709 Dale-Curtin Dr  McFarland WI  53558",Dane,2,01484,3381,450,33810450,5508910,03039,43.014695,-89.300407,1,rooftop,4709,"Dale Curtin Dr","Mc Farland",WI,"Dane County",53558,US,Statewide
"Dickinson El","De Pere","Elementary School",K4,4,"Public school",Regular,No,"435 S Washington St  De Pere WI  54115",Brown,7,10512,1414,40,14140040,5503210,00363,44.443477,-88.052066,1,rooftop,435,"S Washington St","De Pere",WI,"Brown County",54115,US,Brown
"Dimensions of Learning Acad",Kenosha,"Elementary School",KG,8,"Public school",Regular,Charter,"6218 25th Ave  Kenosha WI  53143-4370",Kenosha,1,71193,2793,130,27930130,5507320,02457,42.578039,-87.8395,1,rooftop,6218,"25th Ave",Kenosha,WI,"Kenosha County",53143,US,Kenosha
"Discovery Charter Sch",Columbus,"Elementary School",KG,3,"Public school",Regular,Charter,"200 Fuller St  Columbus WI  53925-1647",Columbia,5,00291,1183,110,11830110,5502820,02734,43.335558,-89.021263,1,rooftop,200,"Fuller St",Columbus,WI,"Columbia County",53925,US,Columbia
"District 4K",Mukwonago,"Elementary School",K4,0,"Public school",Regular,No,"385 E Veterans Way  Mukwonago WI  53149",Waukesha,1,01436,3822,140,38220140,5510060,03024,42.873282,-88.331187,1,rooftop,385,"E Veterans Way",Mukwonago,WI,"Waukesha County",53149,US,Waukesha
"Dixon El",Elmbrook,"Elementary School",PK,5,"Public school",Regular,No,"2400 Pilgrim Square Dr  Brookfield WI  53005-4421",Waukesha,1,00833,0714,100,07140100,5501770,02367,43.062405,-88.105248,1,rooftop,2400,"Pilgrim Square Dr",Brookfield,WI,"Waukesha County",53005,US,Waukesha
"DLH Acad","DLH Acad","Elementary School",K4,8,"Non District Charter Schools",Regular,Charter,"7151 86th St  Milwaukee WI  53224-4861",Milwaukee,1,71847,8109,100,81090100,5500047,02536,43.147489,-88.01931,0.9,rooftop,7151,"N 86th St",Milwaukee,WI,"Milwaukee County",53224,US,"City of Milwaukee"
"Dodgeland El",Dodgeland,"Elementary School",K4,5,"Public school",Regular,No,"401 S Western Ave  Juneau WI  53039-1013",Dodge,6,01471,2744,40,27440040,5507260,00791,43.401909,-88.71649,1,rooftop,401,"S Western Ave",Juneau,WI,"Dodge County",53039,US,Statewide
"Dodgeland Hi",Dodgeland,"High School",9,12,"Public school",Regular,No,"401 S Western Ave  Juneau WI  53039-1013",Dodge,6,01470,2744,22,27440022,5507260,00787,43.401909,-88.71649,1,rooftop,401,"S Western Ave",Juneau,WI,"Dodge County",53039,US,Statewide
"Dodgeland Mid",Dodgeland,"Middle School",6,8,"Public school",Regular,No,"401 S Western Ave  Juneau WI  53039-1013",Dodge,6,07288,2744,25,27440025,5507260,02983,43.401909,-88.71649,1,rooftop,401,"S Western Ave",Juneau,WI,"Dodge County",53039,US,Statewide
"Dodgeville El",Dodgeville,"Elementary School",K4,5,"Public school",Regular,No,"404 N Johnson St  Dodgeville WI  53533-1099",Iowa,3,06402,1428,20,14280020,5503690,00390,42.964336,-90.13924,1,rooftop,404,"N Johnson St",Dodgeville,WI,"Iowa County",53533,US,Statewide
"Dodgeville Hi",Dodgeville,"High School",9,12,"Public school",Regular,No,"912 W Chapel St  Dodgeville WI  53533-1098",Iowa,3,06403,1428,40,14280040,5503690,00392,42.967177,-90.145841,1,rooftop,912,"W Chapel St",Dodgeville,WI,"Iowa County",53533,US,Statewide
"Dodgeville Mid",Dodgeville,"Middle School",6,8,"Public school",Regular,No,"951 W Chapel St  Dodgeville WI  53533-1021",Iowa,3,06404,1428,50,14280050,5503690,00391,42.967069,-90.144026,1,range_interpolation,951,"W Chapel St",Dodgeville,WI,"Iowa County",53533,US,"TIGER/Line® dataset from the US Census Bureau"
"Doerfler El",Milwaukee,"Elementary School",K3,8,"Public school",Regular,No,"3014 W Scott St  Milwaukee WI  53215-1643",Milwaukee,1,05044,3619,125,36190125,5509600,01148,43.019593,-87.951953,1,rooftop,3014,"W Scott St",Milwaukee,WI,"Milwaukee County",53215,US,"City of Milwaukee"
"Don Smith Learning Acad","Beaver Dam Unified","High School",9,12,"Public school",Alternative,No,"400 E Burnett St  Beaver Dam WI  53916-1902",Dodge,6,00506,0336,850,03360850,5500960,02815,43.466972,-88.821637,1,rooftop,400,"E Burnett St","Beaver Dam",WI,"Dodge County",53916,US,Statewide
"Donges Bay El",Mequon-Thiensville,"Elementary School",K4,5,"Public school",Regular,No,"2401 W Donges Bay Rd  Mequon WI  53092-5562",Ozaukee,1,02329,3479,20,34790020,5509130,01083,43.206749,-87.942324,1,range_interpolation,2401,"W Donges Bay Rd",Thiensville,WI,"Ozaukee County",53092,US,"TIGER/Line® dataset from the US Census Bureau"
"Doty El","Green Bay Area Public","Elementary School",K4,5,"Public school",Regular,No,"525 Longview Ave  Green Bay WI  54301-1199",Brown,7,11773,2289,175,22890175,5505820,00617,44.453517,-88.030279,1,rooftop,525,"Longview Ave","Green Bay",WI,"Brown County",54301,US,Brown
"Doudna El",Richland,"Elementary School",KG,5,"Public school",Regular,No,"1990 Bohmann Dr  Richland Center WI  53581-2909",Richland,3,07304,4851,30,48510030,5512960,02345,43.317755,-90.378372,1,rooftop,1990,"Bohmann Dr","Richland Center",WI,"Richland County",53581,US,Richland
"Douglas El","Watertown Unified","Elementary School",KG,5,"Public school",Regular,No,"1101 Prospect St  Watertown WI  53098-2327",Dodge,2,02545,6125,40,61250040,5515750,01997,43.205148,-88.715934,1,rooftop,1101,"Prospect St",Watertown,WI,"Dodge County",53098,US,Statewide
"Dousman El","Kettle Moraine","Elementary School",K4,5,"Public school",Regular,No,"341 E Ottawa Ave  Dousman WI  53118-9363",Waukesha,1,02775,1376,60,13760060,5503510,00375,43.009503,-88.464733,1,rooftop,341,"E Ottawa Ave",Dousman,WI,"Waukesha County",53118,US,Waukesha
"Downsville El","Menomonie Area","Elementary School",PK,5,"Public school",Regular,No,"N2681 460th St  Downsville WI  54735",Dunn,11,15637,3444,60,34440060,5509090,01074,44.946496,-91.90344,1,place,,,Downsville,WI,"Dunn County",54735,US,"TIGER/Line® dataset from the US Census Bureau"
"Downtown Montessori","Downtown Montessori","Elementary School",K3,8,"Non District Charter Schools",Regular,Charter,"2507 S Graham St  Milwaukee WI  53207-1687",Milwaukee,1,30909,8101,1056,81011056,5500039,02153,42.998354,-87.903867,1,rooftop,2507,"S Graham St",Milwaukee,WI,"Milwaukee County",53207,US,"City of Milwaukee"
"Dr Edward G Dyer Sch","Burlington Area","Elementary School",4,6,"Public school",Regular,No,"201 S Kendrick Ave  Burlington WI  53105-1799",Racine,2,71184,0777,110,07770110,5501890,02462,42.67386,-88.292748,1,range_interpolation,201,"S Kendrick Ave",Burlington,WI,"Racine County",53105,US,"TIGER/Line® dataset from the US Census Bureau"
"Dr H B Tanner El","Kaukauna Area","Elementary School",K4,1,"Public school",Regular,No,"2500 Fieldcrest Dr  Kaukauna WI  54130-4505",Outagamie,6,10688,2758,50,27580050,5507290,02433,44.259907,-88.283287,1,rooftop,2500,"Fieldcrest Dr",Kaukauna,WI,"Outagamie County",54130,US,Outagamie
"Dresser El","Saint Croix Falls","Elementary School",K4,0,"Public school",Regular,No,"131 2nd Ave  Dresser WI  54009",Polk,11,10080,5019,40,50190040,5513230,01744,45.357588,-92.632028,0.9,rooftop,131,"2nd St E",Dresser,WI,"Polk County",54009,US,Statewide
"Drought El","Norway J7","Elementary School",K4,8,"Public school",Regular,No,"21016 7 Mile Rd  Franksville WI  53126-9718",Racine,2,02905,4011,20,40110020,5510800,01405,42.829658,-88.079936,1,range_interpolation,21016,"7 Mile Rd",Franksville,WI,"Racine County",53126,US,"TIGER/Line® dataset from the US Census Bureau"
"Drummond El","Drummond Area","Elementary School",K4,6,"Public school",Regular,No,"52440 Eastern Ave  Drummond WI  54832",Bayfield,12,16568,1491,20,14910020,5503810,00398,46.335952,-91.255568,1,rooftop,52440,"Eastern Ave",Drummond,WI,"Bayfield County",54832,US,Bayfield
"Drummond Hi","Drummond Area","High School",9,12,"Public school",Regular,No,"52440 Eastern Ave  Drummond WI  54832",Bayfield,12,16569,1491,40,14910040,5503810,00396,46.335952,-91.255568,1,rooftop,52440,"Eastern Ave",Drummond,WI,"Bayfield County",54832,US,Bayfield
"Drummond Jr","Drummond Area","Middle School",7,8,"Public school",Regular,No,"52440 Eastern Ave  Drummond WI  54832",Bayfield,12,16570,1491,50,14910050,5503810,00397,46.335952,-91.255568,1,rooftop,52440,"Eastern Ave",Drummond,WI,"Bayfield County",54832,US,Bayfield
"Dunwiddie El","Port Washington-Saukville","Elementary School",K4,4,"Public school",Regular,No,"1243 W Lincoln Ave  Port Washington WI  53074-2012",Ozaukee,1,01973,4515,40,45150040,5512000,02320,43.384849,-87.894574,1,rooftop,1243,"W Lincoln Ave","Port Washington",WI,"Ozaukee County",53074,US,Statewide
"Durand Mid/Hi",Durand-Arkansaw,"High School",6,12,"Public school",Regular,No,"604 7th Ave E  Durand WI  54736-1371",Pepin,11,15639,1499,40,14990040,5503840,00136,44.62963,-91.957593,1,rooftop,604,"7th Ave E",Durand,WI,"Pepin County",54736,US,Statewide
"E Cook El","Oshkosh Area","Elementary School",KG,5,"Public school",Regular,No,"1600 Hazel St  Oshkosh WI  54901-3164",Winnebago,6,17145,4179,60,41790060,5511190,01483,44.036781,-88.522402,1,rooftop,1600,"Hazel St",Oshkosh,WI,"Winnebago County",54901,US,Winnebago
"eAchieve Acad - Wisconsin",Waukesha,"High School",6,12,"Public school",Regular,Charter,"222 Maple Ave  Waukesha WI  53186-4725",Waukesha,1,72930,6174,470,61740470,5515780,03380,43.004896,-88.234675,1,rooftop,222,"Maple Ave",Waukesha,WI,"Waukesha County",53186,US,Waukesha
"eAchieve El",Waukesha,"Elementary School",KG,5,"Public school",Regular,Charter,"222 Maple Ave  Waukesha WI  53186-4725",Waukesha,1,00936,6174,150,61740150,5515780,03003,43.004896,-88.234675,1,rooftop,222,"Maple Ave",Waukesha,WI,"Waukesha County",53186,US,Waukesha
"Eagle Bluff El",Onalaska,"Elementary School",K4,5,"Public school",Regular,No,"200 Eagle Bluff Ct  Onalaska WI  54650-8415","La Crosse",4,14785,4095,20,40950020,5511010,01445,43.882963,-91.19975,1,rooftop,200,"Eagle Bluff Ct",Onalaska,WI,"La Crosse County",54650,US,Statewide
"Eagle El","Palmyra-Eagle Area","Elementary School",K4,6,"Public school",Regular,No,"810 E Main St  Eagle WI  53119",Waukesha,2,02777,4221,10,42210010,5511350,01513,42.882143,-88.462509,1,rooftop,810,"E Main St",Eagle,WI,"Waukesha County",53119,US,Waukesha
"Eagle Point El","De Forest Area","Elementary School",KG,4,"Public school",Regular,No,"206 N Johnson St  DeForest WI  53532-1325",Dane,2,06359,1316,20,13160020,5503180,00354,43.248639,-89.332888,1,rooftop,206,"N Johnson St","De Forest",WI,"Dane County",53532,US,Dane
"Eagles' Wings Virtual Charter","Solon Springs","Combined Elementary/Secondary School",K4,12,"Public school",Regular,Charter,"8993 E Baldwin Ave  Solon Springs WI  54873-8144",Douglas,12,01766,5397,850,53970850,5513980,03092,46.345672,-91.831008,1,rooftop,8993,"E Baldwin Ave","Solon Springs",WI,"Douglas County",54873,US,Statewide
"Eagleville Charter Sch",Mukwonago,"Elementary School",KG,6,"Public school",Regular,Charter,"S101W34511 Hwy LO  Eagle WI  53119",Waukesha,1,72755,3822,110,38220110,5510060,03354,42.929074,-88.47489,0.33,place,,,Eagle,WI,"Waukesha County",53119,US,"TIGER/Line® dataset from the US Census Bureau"
"Early Childhood","Verona Area","Elementary School",PK,0,"Public school",Regular,No,"5830 Devoro Rd  Fitchburg WI  53711",Dane,2,71202,5901,110,59010110,5515330,02285,43.004199,-89.44923,1,rooftop,5830,"Devoro Rd",Madison,WI,"Dane County",53711,US,Dane
"Early Learning Acad","Oak Creek-Franklin Joint","Elementary School",K4,0,"Public school",Regular,No,"7630 S 10th St  Oak Creek WI  53154",Milwaukee,1,00223,4018,160,40180160,5510830,02659,42.90566,-87.926616,1,rooftop,7630,"S 10th St","Oak Creek",WI,"Milwaukee County",53154,US,Milwaukee
"Early Learning Center","North Fond du Lac","Elementary School",K4,0,"Public school",Regular,No,"923 Minnesota Ave  North Fond du Lac WI  54937","Fond du Lac",6,71924,3983,110,39830110,5510740,02531,43.812546,-88.483762,1,rooftop,923,"Minnesota Ave","Fond Du Lac",WI,"Fond du Lac County",54937,US,"Fond Du Lac"
"Early Learning Ctr",Cedarburg,"Elementary School",PK,0,"Public school","Special Education",No,"W52N932 Keup Rd  Cedarburg WI  53012",Ozaukee,1,00419,1015,110,10150110,5502460,02772,43.309487,-87.974521,1,range_interpolation,52,"Keup Rd",Cedarburg,WI,"Ozaukee County",53012,US,"TIGER/Line® dataset from the US Census Bureau"
"Early Learning Ctr","Green Bay Area Public","Elementary School",K4,0,"Public school",Regular,No,"312 Victoria St  Green Bay WI  54302-2818",Brown,7,00394,2289,130,22890130,5505820,02788,44.499321,-87.983194,1,rooftop,312,"Victoria St","Green Bay",WI,"Brown County",54302,US,Brown
"Early Learning Ctr","Sheboygan Area","Elementary School",K4,0,"Public school",Regular,No,"1227 Wilson Ave  Sheboygan WI  53081-6741",Sheboygan,7,02072,5271,93,52710093,5513650,02423,43.722572,-87.720863,1,rooftop,1227,"Wilson Ave",Sheboygan,WI,"Sheboygan County",53081,US,Sheboygan
"East El","Antigo Unified","Elementary School",PK,5,"Public school",Regular,No,"220 7th Ave  Antigo WI  54409-2600",Langlade,9,12390,0140,100,01400100,5500360,00039,45.138012,-89.143692,1,rooftop,220,"7th Ave",Antigo,WI,"Langlade County",54409,US,Statewide
"East El",Baraboo,"Elementary School",K4,5,"Public school",Regular,No,"815 6th St  Baraboo WI  53913-2399",Sauk,5,09316,0280,60,02800060,5500810,00104,43.473103,-89.730159,1,rooftop,815,"6th St",Baraboo,WI,"Sauk County",53913,US,Sauk
"East El",Jefferson,"Elementary School",K4,5,"Public school",Regular,No,"120 S Sanborn Ave  Jefferson WI  53549-1699",Jefferson,2,06723,2702,40,27020040,5507050,00777,43.004462,-88.802781,1,rooftop,120,"S Sanborn Ave",Jefferson,WI,"Jefferson County",53549,US,Jefferson
"East El",Milton,"Elementary School",K4,3,"Public school",Regular,No,"201 S Janesville St  Milton WI  53563",Rock,2,06984,3612,80,36120080,5509570,01117,42.780829,-88.936095,0.9,range_interpolation,201,"State Hwy 26",Milton,WI,"Rock County",53563,US,"TIGER/Line® dataset from the US Census Bureau"
"East Hi","Appleton Area","High School",9,12,"Public school",Regular,No,"2121 Emmers Dr  Appleton WI  54915-3802",Outagamie,6,17469,0147,20,01470020,5500390,00047,44.248174,-88.373554,0.9,rooftop,2121,"E Emmers Dr",Appleton,WI,"Outagamie County",54915,US,Outagamie
"East Hi",Elmbrook,"High School",9,12,"Public school",Regular,No,"3305 N Lilly Rd  Brookfield WI  53005-7608",Waukesha,1,00831,0714,60,07140060,5501770,00215,43.078853,-88.086628,1,range_interpolation,3305,"N Lilly Rd",Brookfield,WI,"Waukesha County",53005,US,"TIGER/Line® dataset from the US Census Bureau"
"East Hi","Green Bay Area Public","High School",9,12,"Public school",Regular,No,"1415 E Walnut St  Green Bay WI  54301-4399",Brown,7,11774,2289,180,22890180,5505820,00618,44.506767,-87.993428,1,rooftop,1415,"E Walnut St","Green Bay",WI,"Brown County",54301,US,Brown
"East Hi","Madison Metropolitan","High School",9,12,"Public school",Regular,No,"2222 E Washington Ave  Madison WI  53704-5295",Dane,2,07866,3269,150,32690150,5508520,00925,43.097699,-89.35485,1,rooftop,2222,"E Washington Ave",Madison,WI,"Dane County",53704,US,Dane
